,GeoID,FIPS,Name,Scale,Area,Lat_Cent,Lon_Cent,Population,Density,Pct_White,Pct_Black,Pct_NatAm,Pct_Asian,Pct_Pacific,Pct_Other,Pct_Two_Plus,Pct_Hispanic,Med_Age,Pct_NotLabor,Pct_Unemp,Pct_Commute,Pct_Service_O,Pct_BlueCollar_O,Pct_FIRE_I,Pct_SNAP,PCI,Pct_Poverty,Pct_Vacant,Med_HomeValue,Pct_Divorced,Pct_NoHS,Pct_Repub,Pct_Fallin,Region
10,0500000US40021,40021,Cherokee County,C,776.2902246447635,35.9043668,-94.9967964,47860,61.652199758023635,53.12996239030505,1.1763476807354785,30.674885081487673,0.6707062264939407,0.1065608023401588,0.9987463435018804,13.242791475135812,6.4688675302966985,34.7,45.1,8.2,80.1,19.3,12.9,38.0,15.9,18893,22.6,21.8,106300,13.0,14.5,27.776584317937704,45.052283984589984,1
11,0500000US40023,40023,Choctaw County,C,799.5720566189564,34.0276453,-95.5542077,15175,18.978902369560657,63.22899505766063,10.504118616144975,11.472817133443163,0.43492586490939045,0.0,1.5617792421746293,12.797364085667216,3.347611202635915,41.3,49.6,8.8,81.1,23.4,13.0,34.4,25.0,18739,27.7,19.4,76100,13.8,20.6,17.470292504570384,55.70469798657718,2
12,0500000US40025,40025,Cimarron County,C,1840.8859546391748,36.7552758,-102.5087345,2390,1.298287921626549,82.80334728033473,0.502092050209205,0.7531380753138075,0.2510460251046025,0.0,14.058577405857742,1.6317991631799162,20.585774058577407,44.8,38.3,2.1,79.6,17.3,17.5,25.599999999999998,9.2,24946,20.6,37.0,63300,7.7,16.3,58.781785925487874,75.29411764705883,5
13,0500000US40027,40027,Cleveland County,C,558.0863627256123,35.2031167,-97.3283318,264934,474.71864158461256,79.46054489042554,4.400718669555436,4.091962526516038,4.027795601923498,0.06869635456377815,1.442245993341738,6.508035963673972,7.5452754270875015,33.0,34.1,5.4,83.5,17.0,9.8,41.9,10.1,27386,13.3,8.6,142800,11.2,8.7,48.17882048422516,51.45366696000133,3
14,0500000US40029,40029,Coal County,C,521.3461736026378,34.5828612,-96.288039,5877,11.272740258911655,72.40088480517271,0.47643355453462655,10.192274970222904,0.17015484090522376,0.0,0.9698825931597753,15.790369236004764,3.283988429470818,42.1,46.9,8.1,82.6,13.7,20.6,36.1,17.7,20968,21.1,16.5,71900,14.2,17.3,14.318181818181818,42.77555682467162,2
15,0500000US40031,40031,Comanche County,C,1083.7032991768738,34.6626279,-98.4765971,125647,115.94225107133578,64.46552643517155,16.84799477902377,5.28544254936449,2.027903571115904,0.570646334572254,2.0955534155212616,8.706932915230766,12.06952812243826,31.4,34.9,9.4,73.4,21.1,10.9,36.400000000000006,16.2,23035,18.0,14.1,114400,13.8,10.7,35.35122457610827,50.455000000000005,3
16,0500000US40033,40033,Cotton County,C,641.9574323004526,34.290676,-98.3734379,6157,9.590978607314208,79.64917979535488,1.867792756212441,8.624330030859184,0.6983920740620433,0.0,2.1763846028910185,6.983920740620432,6.561637160955011,41.2,41.4,8.6,83.0,18.8,13.1,33.0,13.8,21410,16.8,19.8,74300,11.1,15.600000000000001,28.692098092643054,53.56294536817102,3
17,0500000US40035,40035,Craig County,C,762.7815244077339,36.7638896,-95.2015531,14792,19.392184428543068,66.59680908599242,3.265278528934559,17.002433747971875,0.6084369929691725,0.07436452136289887,0.662520281233099,11.790156841535964,2.8664142779881017,43.0,47.5,6.8,85.1,22.5,12.0,34.4,10.0,19936,17.8,18.1,88400,15.0,16.5,29.163488431222984,54.93827160493827,1
18,0500000US40037,40037,Creek County,C,969.8252559445683,35.9077324,-96.3797931,70607,72.80383715232473,79.7300550936876,2.362372002775929,8.967949353463538,0.5183622020479556,0.015579191864829265,0.9843216678233035,7.421360488336851,3.4996530089084654,40.4,42.2,7.5,83.9,16.1,13.0,33.8,13.0,22736,15.4,12.2,104800,12.9,14.8,49.93774024145958,62.7110908261068,1
19,0500000US40039,40039,Custer County,C,1002.068854541307,35.6456012,-98.9973857,28506,28.447146990760935,83.42805023503824,2.9432400196449873,2.6871535817020975,1.385673191608784,0.11576510208377185,1.7049042306882762,7.735213639233845,15.428330877709955,30.6,36.1,4.2,84.5,20.0,15.8,31.2,7.2,22993,16.6,16.4,115100,11.2,14.5,44.710833386469425,64.5903651426818,5
